Név;Osztály;Első nap;Utolsó nap;Mulasztott órák
Balogh Péter;6a;1;1;5
Horváth Judit;5a;1;1;5
Juhász János;6a;1;1;5
Lengyel Krisztina;6b;1;1;6
Török Béla;3b;1;1;6
László Péter;4b;1;1;6
Török Béla;3b;4;4;6
László Péter;4b;4;4;5
Magyar Nóra;8a;4;4;6
Nagy András;5b;4;4;5
Gyüre István;8b;5;5;6
Kiss Tamás;3b;5;5;5
Nagy Eszter;5b;5;5;6
Tóth Ádám;7b;5;5;5
Arnóczki István;4a;6;6;6
Gyüre István;8b;6;6;6
Kiss Tamás;3b;6;6;5
Szabó Dalma;7a;6;6;6
Bakajsza Ferenc;3a;7;7;6
Lippai Tibor;3b;7;7;5
Tóth Tibor;4b;7;7;5
Balogh József;8a;8;8;5
Barabás Attila;8b;8;8;7
Hamza Dezső;1a;8;8;5
Szilágyi Tibor;8b;8;8;5
Fehér Virág;1a;11;11;6
Kis Katalin;8a;11;11;7
Kovács Imre;2a;11;11;6
Novák Sándor;1b;11;11;5
Tirpák Ferenc;2b;11;11;5
Arnóczki István;4a;12;12;6
Bakajsza Ferenc;3a;12;12;6
Lippai Tibor;3b;12;12;5
Nagy Emese;5a;12;12;6
Tóth Tibor;4b;12;12;5
Magyari Ildikó;6b;14;14;5
Sajtos Enikő;6a;14;14;6
Soltész Anna;5b;14;14;5
Bodnár Tímea;6a;15;15;6
Csimbók Ernő;7b;15;15;5
Kropkó Áron;7a;15;15;5
Németh Anna;8a;15;15;7
Balogh József;8a;18;18;5
Barabás Attila;8b;18;18;7
Hamza Dezső;1a;18;18;4
Horváth Gergely;1b;18;18;5
Szilágyi Tibor;8b;18;18;5
Fekete Viktória;3a;19;19;5
Fekete Zsolt;4a;19;19;5
Fodor Éva;4a;19;19;6
Hegedűs Andrea;6b;19;19;6
Katona Ágnes;7b;19;19;7
Lukács Eszter;5a;19;19;5
Nagy Mihály;6b;19;19;6
Pintér Ferenc;3a;19;19;5
Szilágyi Ildikó;3a;19;19;6
Török Viktória;6a;19;19;5
Lengyel Krisztina;6b;20;20;5
Nagy Emese;5a;20;20;5
Soltész Anna;5b;20;20;6
Barabás Attila;8b;21;21;5
Barna Mátyás;8b;21;21;6
Szilágyi Ildikó;3a;21;21;5
Barna Mátyás;8b;22;22;7
Bogdán Anna;5b;22;22;6
Márta Ádám;8b;22;22;6
Somogyi Dániel;5a;22;22;5
Balla Rajmund;2b;25;25;5
Budai Csab;6b;25;25;6
Molnár Hanna;4a;25;25;6
Németh Gergely;7a;25;25;7
Novák Donát;5a;25;25;5
Soós Csenge;4a;25;25;6
Szilágyi Tibor;8b;25;25;5
Balla Rajmund;2b;26;26;5
Katona Ágnes;7b;26;26;5
Kis Katalin;8a;26;26;6
Lakatos Viktória;3a;26;26;6
Szilágyi Ildikó;3a;26;26;5
Török Viktória;6a;26;26;5
Vörös Ágnes;4b;26;26;5
Balla Rajmund;2b;27;27;4
Borbély Csaba;2b;27;27;5
Farkas Nándor;6a;27;27;6
Fekete Noel;3a;27;27;5
Halász Jakab;3b;27;27;6
Kelemen Béla;4a;27;27;6
Kozma Viktor;5a;27;27;5
Molnár Hanna;4a;27;27;6
Tamás Klaudia;4b;27;27;5
Dobos Benedek;8a;28;28;6
Gulyás Veronika;4b;28;28;5
Katona Ágnes;7b;28;28;6
Márton Blanka;8b;28;28;5
Miksa Fruzsina;2b;28;28;5
Szekeres Márió;2b;28;28;4
Kocsis Panna;7a;29;29;5
Molnár Hanna;4a;29;29;5
Szilágyi Ildikó;3a;29;29;5
Török Adél;2a;29;29;6
